system:index,id,.geo
1_1_LT05_022039_20051110,1_1_LT05_022039_20051110,
1_1_LT05_022039_20051126,1_1_LT05_022039_20051126,
1_1_LT05_022039_20060113,1_1_LT05_022039_20060113,
1_1_LT05_022039_20060129,1_1_LT05_022039_20060129,
1_1_LT05_022039_20060214,1_1_LT05_022039_20060214,
1_1_LT05_022039_20060302,1_1_LT05_022039_20060302,
1_1_LT05_022039_20060403,1_1_LT05_022039_20060403,
1_1_LT05_022039_20060419,1_1_LT05_022039_20060419,
1_1_LT05_022039_20060505,1_1_LT05_022039_20060505,
1_1_LT05_022039_20060521,1_1_LT05_022039_20060521,
1_1_LT05_022039_20060606,1_1_LT05_022039_20060606,
1_1_LT05_022039_20060622,1_1_LT05_022039_20060622,
1_1_LT05_022039_20060708,1_1_LT05_022039_20060708,
1_1_LT05_022039_20060809,1_1_LT05_022039_20060809,
1_1_LT05_022039_20060926,1_1_LT05_022039_20060926,
1_1_LT05_022039_20061012,1_1_LT05_022039_20061012,
1_1_LT05_022039_20061028,1_1_LT05_022039_20061028,
1_1_LT05_022039_20061113,1_1_LT05_022039_20061113,
1_1_LT05_022039_20061129,1_1_LT05_022039_20061129,
1_1_LT05_022039_20070217,1_1_LT05_022039_20070217,
1_1_LT05_022039_20070305,1_1_LT05_022039_20070305,
1_1_LT05_022039_20070321,1_1_LT05_022039_20070321,
1_1_LT05_022039_20070406,1_1_LT05_022039_20070406,
1_1_LT05_022039_20070422,1_1_LT05_022039_20070422,
1_1_LT05_022039_20070508,1_1_LT05_022039_20070508,
1_1_LT05_022039_20070524,1_1_LT05_022039_20070524,
1_1_LT05_022039_20070609,1_1_LT05_022039_20070609,
1_1_LT05_022039_20070625,1_1_LT05_022039_20070625,
1_1_LT05_022039_20070711,1_1_LT05_022039_20070711,
1_1_LT05_022039_20070727,1_1_LT05_022039_20070727,
1_1_LT05_022039_20070812,1_1_LT05_022039_20070812,
1_1_LT05_022039_20070828,1_1_LT05_022039_20070828,
1_1_LT05_022039_20070929,1_1_LT05_022039_20070929,
1_1_LT05_022039_20080204,1_1_LT05_022039_20080204,
1_1_LT05_022039_20080323,1_1_LT05_022039_20080323,
1_1_LT05_022039_20080408,1_1_LT05_022039_20080408,
1_1_LT05_022039_20080424,1_1_LT05_022039_20080424,
1_1_LT05_022039_20080510,1_1_LT05_022039_20080510,
1_1_LT05_022039_20080526,1_1_LT05_022039_20080526,
1_1_LT05_022039_20080611,1_1_LT05_022039_20080611,
1_1_LT05_022039_20080627,1_1_LT05_022039_20080627,
1_1_LT05_022039_20080713,1_1_LT05_022039_20080713,
1_1_LT05_022039_20080729,1_1_LT05_022039_20080729,
1_1_LT05_022039_20080814,1_1_LT05_022039_20080814,
1_1_LT05_022039_20080830,1_1_LT05_022039_20080830,
1_1_LT05_022039_20081001,1_1_LT05_022039_20081001,
1_1_LT05_022039_20081102,1_1_LT05_022039_20081102,
1_1_LT05_022039_20081118,1_1_LT05_022039_20081118,
1_1_LT05_022039_20090121,1_1_LT05_022039_20090121,
1_1_LT05_022039_20090206,1_1_LT05_022039_20090206,
1_1_LT05_022039_20090222,1_1_LT05_022039_20090222,
1_1_LT05_022039_20090310,1_1_LT05_022039_20090310,
