system:index,id,.geo
1_1_LT05_037034_19960923,1_1_LT05_037034_19960923,
1_1_LT05_037034_19961009,1_1_LT05_037034_19961009,
1_1_LT05_037034_19970505,1_1_LT05_037034_19970505,
1_1_LT05_037034_19970521,1_1_LT05_037034_19970521,
1_1_LT05_037034_19970622,1_1_LT05_037034_19970622,
1_1_LT05_037034_19970708,1_1_LT05_037034_19970708,
1_1_LT05_037034_19970724,1_1_LT05_037034_19970724,
1_1_LT05_037034_19970809,1_1_LT05_037034_19970809,
1_1_LT05_037034_19970825,1_1_LT05_037034_19970825,
1_1_LT05_037034_19970910,1_1_LT05_037034_19970910,
1_1_LT05_037034_19971012,1_1_LT05_037034_19971012,
1_1_LT05_037034_19980508,1_1_LT05_037034_19980508,
1_1_LT05_037034_19980524,1_1_LT05_037034_19980524,
1_1_LT05_037034_19980609,1_1_LT05_037034_19980609,
1_1_LT05_037034_19980711,1_1_LT05_037034_19980711,
1_1_LT05_037034_19980727,1_1_LT05_037034_19980727,
1_1_LT05_037034_19980812,1_1_LT05_037034_19980812,
1_1_LT05_037034_19980828,1_1_LT05_037034_19980828,
1_1_LT05_037034_19980913,1_1_LT05_037034_19980913,
1_1_LT05_037034_19980929,1_1_LT05_037034_19980929,
1_1_LT05_037034_19981015,1_1_LT05_037034_19981015,
1_1_LT05_037034_19990511,1_1_LT05_037034_19990511,
1_1_LT05_037034_19990527,1_1_LT05_037034_19990527,
1_1_LT05_037034_19990612,1_1_LT05_037034_19990612,
1_1_LT05_037034_19990628,1_1_LT05_037034_19990628,
1_1_LT05_037034_19990730,1_1_LT05_037034_19990730,
1_1_LT05_037034_19990815,1_1_LT05_037034_19990815,
1_1_LT05_037034_19990831,1_1_LT05_037034_19990831,
1_1_LT05_037034_19990916,1_1_LT05_037034_19990916,
1_1_LT05_037034_19991002,1_1_LT05_037034_19991002,
1_1_LT05_037034_19991018,1_1_LT05_037034_19991018,
1_1_LT05_037034_20000513,1_1_LT05_037034_20000513,
1_1_LT05_037034_20000529,1_1_LT05_037034_20000529,
1_1_LT05_037034_20000614,1_1_LT05_037034_20000614,
1_1_LT05_037034_20000630,1_1_LT05_037034_20000630,
1_1_LT05_037034_20000716,1_1_LT05_037034_20000716,
1_1_LT05_037034_20000801,1_1_LT05_037034_20000801,
1_1_LT05_037034_20000817,1_1_LT05_037034_20000817,
1_1_LT05_037034_20000902,1_1_LT05_037034_20000902,
